>>> %Run -c $EDITOR_CONTENT
p_0 = 102074.488, T_0 = 15.75, h_0 = -0.0, LAMBDA = -0.0065, EXP = 0.19004424, 
p_t = 101901.65, T_t = 13.43, h_t = -0.7801927
p_t = 101899.39, T_t = 13.56, h_t = -0.790447
p_t = 101900.32, T_t = 13.67, h_t = -0.78625864
p_t = 101900.376, T_t = 13.74, h_t = -0.7859698
p_t = 101895.49, T_t = 13.71, h_t = -0.808067
p_t = 101901.95, T_t = 13.68, h_t = -0.7788929
p_t = 101894.16, T_t = 13.61, h_t = -0.814133
p_t = 101899.39, T_t = 13.56, h_t = -0.790447
p_t = 101898.45, T_t = 13.48, h_t = -0.79463532
p_t = 101896.016, T_t = 13.47, h_t = -0.8057562
p_t = 101898.83, T_t = 13.43, h_t = -0.79304664
p_t = 101898.41, T_t = 13.45, h_t = -0.7949242
p_t = 101902.44, T_t = 13.44, h_t = -0.7767265
p_t = 101896.77, T_t = 13.44, h_t = -0.802289968


